Date	Depth (m)	Temperature (°C)	Specific Conductance (µS/cm)	DO Concentration (mg/l)	DO Saturation (%)	pH	Chlorophyll (µg/l)	Turbidity (NTU)	Phycocyanin (µg/l)	Provisional	End Check Condition	ParametersOutOfRange	Sonde	
1/1/2020 12:56:00 AM	9.780	8.48	101.72	10.32	88.16	7.48	0.76	1.05	0.25	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2020 1:56:00 AM	9.790	8.49	101.77	10.38	88.72	7.50	0.93	1.08	0.23	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2020 2:56:00 AM	9.750	8.49	101.80	10.40	88.90	7.49	0.93	1.05	0.30	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2020 3:56:00 AM	9.780	8.49	101.80	10.35	88.44	7.48	0.97	1.09	0.24	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2020 4:56:00 AM	9.810	8.49	101.80	10.38	88.73	7.48	1.07	1.18	0.27	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2020 5:56:00 AM	9.810	8.48	101.75	10.32	88.21	7.47	1.12	1.09	0.23	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2020 6:56:00 AM	9.820	8.47	101.71	10.26	87.64	7.45	0.71	1.19	0.17	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2020 7:56:00 AM	9.830	8.48	101.92	10.17	86.91	7.44	1.27	1.31	0.22	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2020 8:56:00 AM	9.840	8.45	101.63	10.12	86.37	7.43	0.97	1.09	0.21	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2020 9:56:00 AM	9.850	8.46	101.66	10.15	86.67	7.43	1.00	1.21	0.14	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2020 10:56:00 AM	9.850	8.47	101.75	10.20	87.18	7.44	0.86	1.11	0.23	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2020 11:56:00 AM	9.860	8.48	101.77	10.31	88.10	7.47	1.04	1.12	0.28	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2020 12:56:00 PM	9.860	8.48	101.76	10.29	87.90	7.46	0.84	1.12	0.13	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2020 1:56:00 PM	9.850	8.50	101.83	10.37	88.68	7.48	0.87	1.10	0.27	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
